CONS_NO,driver_1,driver_1_shap,driver_2,driver_2_shap,driver_3,driver_3_shap,FLAG,ml_risk_probability,anomaly_score,final_risk_score,review_priority
1F7F8AF569AB5AC4CCFF98E48FDBBE65,missing_rate,0.4957086601921043,min_consumption,0.30741960008873503,zero_rate,0.15993048891886205,0,0.3456327889888066,0.0462414162156382,0.2558153771568561,LOW
6BD04DCABC15FF9CAA40252547984C43,max_consumption,0.7939656170096316,std_consumption,0.29665213619389935,consumption_change,0.23511858116739628,0,0.3033818111422842,0.2213956205697199,0.2787859539705148,LOW
183D8FCEACEF3D3695B92F600915EBA1,month_10_mean,0.15437897469694403,month_2_mean,0.12777269047989626,month_6_mean,0.11076815283396513,0,0.4004440132700816,0.0189608502999444,0.2859990643790404,LOW
435517C14C5F320FE565B54F1E57B820,seasonal_std,0.19089007050742274,long_term_change,0.11412865345226303,month_6_mean,0.11224860891883097,0,0.3741144736695216,0.013601558825056,0.2659605992161819,LOW
D337C05D2897E43B60968F708203C995,max_consumption,0.7073171344059869,month_10_mean,0.5130218669605215,std_consumption,0.28893958696539435,0,0.4335467852278771,0.3009732696683568,0.393774730560021,LOW
015CB8E68B1F478E014F71ABD1D2A3C3,month_10_mean,0.39971389789006695,max_consumption,0.3421241695529025,month_2_mean,0.23647174528423454,0,0.4189547792288369,0.0542209865635201,0.3095346414292418,LOW
1469C2F10716CA59633A5CB56A0B88A8,month_7_mean,0.2816365334541836,missing_rate,0.2150542337874739,month_6_mean,0.11593524043135234,0,0.2606617771598604,0.0361154067271466,0.1932978660300463,LOW
CA5AEA730E26DEDF747019926BD0A0C0,max_consumption,1.5015272358484335,std_consumption,0.5862816439992917,month_3_mean,0.43261876459605275,0,0.5897780630203474,0.6854302719248803,0.6184737256917072,MEDIUM
93FC935FBD8BDC10C3FA1D13C70F310C,min_consumption,0.36636782463261486,zero_rate,0.13876570771333394,month_3_mean,0.10204252692663408,0,0.1884209980055919,0.0419309410705947,0.1444739809250927,LOW
EC21BA73A12C43D138C29222B943E0EE,month_7_mean,0.1312834035406474,month_6_mean,0.09582147111376671,month_3_mean,0.093729734552066,0,0.1025830548617309,0.025399370462221,0.0794279495418779,LOW
5471BD61D046237B3F03090242443557,month_7_mean,0.23202184599711062,month_3_mean,0.21343003194403384,month_6_mean,0.16164182321968623,0,0.4292490110124255,0.0253205046419805,0.308070459101292,LOW
90512AC43D4B6AC25743C1C03E1FAEF6,min_consumption,0.43408513458564496,missing_rate,0.3195383112651182,zero_rate,0.19936428242313622,0,0.1821962856504144,0.0707628328183911,0.1487662498008074,LOW
0BA7CEE98CE7EB920FE0E6D8B56FE8FB,max_consumption,0.73743253680787,month_4_mean,0.4201160411256896,std_consumption,0.37743646057744906,1,0.8093607377637584,0.2149167494961357,0.6310275412834715,MEDIUM
57FCC906661640B1F3D13E8FD6C057EB,missing_rate,0.5895849858655803,max_consumption,0.4813612799203559,std_consumption,0.39957894395236904,0,0.4493687498640605,0.130068891496245,0.3535787923537158,LOW
DDFF976F1CB62275D1366E3107847384,max_consumption,0.4769669239003583,month_10_mean,0.32498299851727896,month_2_mean,0.16244987746296738,0,0.476159561692596,0.0474291750988821,0.3475404457144819,LOW
523C1DD15E77CAC1F42DEE9E32C5838F,first_half_mean,0.1421207331718324,month_7_mean,0.14046784109263233,month_11_mean,0.10307702584132283,0,0.0651674072662647,0.0435294305924079,0.0586760142641076,LOW
63F78865F98D77721E3B5452E89BBDEC,month_6_mean,0.2604114500725262,long_term_change,0.17732332268093612,month_7_mean,0.15867664959875444,0,0.307217088210067,0.0083032725391007,0.2175429435087771,LOW
A26CBC01005EF5FB1DA977E0ED4630CE,month_6_mean,0.1846259734661128,max_consumption,0.16637970499504084,month_7_mean,0.1485509492853806,0,0.2290933875785911,0.0060124290121556,0.1621691000086604,LOW
C48CF3F8C8C5335402DF89E7F8584978,max_consumption,0.3820655448014496,month_10_mean,0.3297972775478997,std_consumption,0.32807267407208296,0,0.3433745355135519,0.0741745365679311,0.2626145358298656,LOW
F40AB0D2D3735E8383F4693B7908460B,min_consumption,0.550077798833808,max_consumption,0.39180062294545964,long_term_change,0.23876454120408555,0,0.3768622466999797,0.0356373738161174,0.2744947848348211,LOW
9C404DE536620FE28E82D781593608A7,consumption_change,0.3084152558394189,missing_rate,0.26092120861880397,month_6_mean,0.15134240488372558,0,0.4127064083542393,0.0281271311477838,0.2973326251923027,LOW
A68DE6FE96BA86DD7188E20943E2789F,max_consumption,0.5763351726206511,std_consumption,0.29524602656281823,month_10_mean,0.29033111700875164,0,0.6152824182174365,0.0852841471443444,0.4562829368955088,MEDIUM
40E1A25D51AB33E60803F2E4B6BD3C2E,month_7_mean,0.12891262339717743,month_6_mean,0.10914106480570433,month_3_mean,0.07457433552603983,0,0.1820036837812085,0.0173474415319857,0.1326068111064417,LOW
3D70FE84CC85CFAD85DD8D6CE9399757,month_2_mean,0.3399694891736902,long_term_change,0.24985256976039247,max_consumption,0.2372828148533752,0,0.460310388371283,0.0186749702510236,0.3278197629352051,LOW
6B74117A96B8D9E5971F871D9AA0F485,max_consumption,0.40248328804202294,std_consumption,0.2873584397121916,month_4_mean,0.2153517539567583,0,0.3688717367928288,0.1529518463342948,0.3040957696552686,LOW
F16A83E52A485FDA696D509F7F626C34,min_consumption,0.4012996712689096,zero_rate,0.2147415492088119,missing_rate,0.09819091783849665,0,0.2134981541149342,0.0383220341827077,0.1609453181352662,LOW
D4B52AD432878B33BD447EBDEE07F670,month_7_mean,0.15421610383483764,month_6_mean,0.12503363767057757,month_1_mean,0.07237509158022332,0,0.1380920853781324,0.0079708426696964,0.0990557125656016,LOW
ED3B8A3D1894CE306323008358384182,max_consumption,0.5299132113239586,std_consumption,0.28148230937924934,long_term_change,0.1571958864213304,0,0.5732434505367237,0.0963058818849274,0.4301621799411847,MEDIUM
5BE386F490612227759D4A310DF116E4,month_10_mean,0.5404113642297341,max_consumption,0.5259873765440666,std_consumption,0.34813438086575554,0,0.4385645346511222,0.0717970554057346,0.3285342908775059,LOW
F4625924E12697BAEF8DC7EF1891230B,max_consumption,0.42316882764662306,month_2_mean,0.14182277926012493,seasonal_std,0.1362077321941559,0,0.4918592304602641,0.0399068733190988,0.3562735233179145,LOW
D9007C134BFEFFE2EB25E8288F3C9B47,max_consumption,0.7184525708495669,missing_rate,0.43136420102174056,month_10_mean,0.33690610930778936,0,0.7338981457484167,0.1608336814869445,0.561978806469975,MEDIUM
D0C30EBA8AA8552523A077DF424C0474,missing_rate,0.7771145800157351,consumption_change,0.6215521216220607,max_consumption,0.3877250812289692,0,0.695443369928971,0.0889471160020369,0.5134944937508907,MEDIUM
11E2E5B192853202D049BFE752F5824C,month_2_mean,0.23008001792246033,max_consumption,0.14730166717500565,first_half_mean,0.05943802297361665,0,0.2383404847141662,0.0280826638108635,0.1752631384431754,LOW
99C0A1FBF6E4A56C934F3F737816F861,std_consumption,0.4325416691285523,max_consumption,0.32052465422695947,min_consumption,0.31872233496966185,0,0.4482369326061032,0.0659145056420625,0.333540204516891,LOW
70689883972960431FD1C1F2B4A159CB,min_consumption,0.3928442307654148,long_term_change,0.21307102260713262,zero_rate,0.16289141302986138,0,0.1379910973127411,0.1800239391276474,0.1506009498572129,LOW
09882A7662F9DBDC6A2D0CEDD33B0E93,max_consumption,0.7012093879494504,std_consumption,0.3706621920936265,month_4_mean,0.35810138574244027,1,0.8101548444833258,0.1601967593807673,0.6151674189525582,MEDIUM
9FA2DD3686DDCEBC88A92D9561E5BE3D,min_consumption,0.33344320599645033,month_7_mean,0.2097167749780396,month_1_mean,0.08461678985902904,0,0.2120494826865969,0.0123062059366758,0.1521264996616206,LOW
28C43B4E2E3DD518899CCA00772D70BD,min_consumption,0.4579607947410514,zero_rate,0.22643763860220908,first_half_mean,0.09960211669267363,0,0.1568501125906395,0.0289395418308152,0.1184769413626922,LOW
